step,tag,value
221,Train/Loss_step,2.633323907852173
222,Train/Loss_step,2.585487127304077
222,Train/Loss_step,2.6103835105895996
223,Train/Loss_step,2.630516767501831
223,Train/Loss_step,2.6300644874572754
224,Train/Loss_step,2.6462202072143555
224,Train/Loss_step,2.6375620365142822
225,Train/Loss_step,2.617847442626953
225,Train/Loss_step,2.635190725326538
226,Train/Loss_step,2.6317787170410156
226,Train/Loss_step,2.655604839324951
227,Train/Loss_step,2.6460976600646973
227,Train/Loss_step,2.6492137908935547
228,Train/Loss_step,2.5777814388275146
228,Train/Loss_step,2.62631893157959
229,Train/Loss_step,2.645282030105591
229,Train/Loss_step,2.6224091053009033
230,Train/Loss_step,2.646803379058838
230,Train/Loss_step,2.637934684753418
231,Train/Loss_step,2.5995516777038574
231,Train/Loss_step,2.640221118927002
232,Train/Loss_step,2.5890467166900635
232,Train/Loss_step,2.6224443912506104
233,Train/Loss_step,2.602753162384033
233,Train/Loss_step,2.6633267402648926
234,Train/Loss_step,2.5619828701019287
234,Train/Loss_step,2.6660540103912354
235,Train/Loss_step,2.645995616912842
235,Train/Loss_step,2.6161153316497803
236,Train/Loss_step,2.6426773071289062
236,Train/Loss_step,2.592153310775757
237,Train/Loss_step,2.601674795150757
237,Train/Loss_step,2.613588571548462
238,Train/Loss_step,2.6582841873168945
238,Train/Loss_step,2.5695290565490723
239,Train/Loss_step,2.625295400619507
239,Train/Loss_step,2.626082420349121
240,Train/Loss_step,2.645707845687866
240,Train/Loss_step,2.6080055236816406
241,Train/Loss_step,2.5866217613220215
241,Train/Loss_step,2.62017560005188
242,Train/Loss_step,2.613337755203247
242,Train/Loss_step,2.6246986389160156
243,Train/Loss_step,2.6423423290252686
243,Train/Loss_step,2.571078062057495
244,Train/Loss_step,2.6313259601593018
244,Train/Loss_step,2.565027952194214
245,Train/Loss_step,2.6017870903015137
245,Train/Loss_step,2.6145200729370117
246,Train/Loss_step,2.616339921951294
246,Train/Loss_step,2.6335256099700928
247,Train/Loss_step,2.622974157333374
247,Train/Loss_step,2.56156849861145
248,Train/Loss_step,2.6050007343292236
248,Train/Loss_step,2.6245474815368652
249,Train/Loss_step,2.630580425262451
249,Train/Loss_step,2.5850942134857178
250,Train/Loss_step,2.6094112396240234
250,Train/Loss_step,2.5647687911987305
251,Train/Loss_step,2.623657464981079
251,Train/Loss_step,2.6454246044158936
252,Train/Loss_step,2.5828351974487305
252,Train/Loss_step,2.583470344543457
253,Train/Loss_step,2.6517231464385986
253,Train/Loss_step,2.5763707160949707
